log(T),C1.57,C1.00
1,-1.903747063,-1.824533776
0.95,-1.894669056,-1.807820562
0.9,-1.88523308,-1.792267981
0.85,-1.876740187,-1.779451385
0.8,-1.87079124,-1.770910428
0.75,-1.868999744,-1.76775523
0.7,-1.87267134,-1.770208336
0.65,-1.882549677,-1.777142559
0.6,-1.898710607,-1.785741771
0.55,-1.920656713,-1.791566989
0.5,-1.947595415,-1.789427293
0.45,-1.978779068,-1.77516267
0.4,-2.013642684,-1.747540558
0.35,-2.051470911,-1.708842749
0.3,-2.09056025,-1.663632199
0.25,-2.127287135,-1.61676712
0.2,-2.155995105,-1.571992692
0.15,-2.170791539,-1.531514603
0.1,-2.169189303,-1.496247032
0.05,-2.155041255,-1.466319908
0,-2.137894402,-1.441587438
-0.05,-2.12958242,-1.422003329
-0.1,-2.14125589,-1.40781109
-0.15,-2.182316334,-1.399554307
-0.2,-2.260600436,-1.397962467
-0.25,-2.382674998,-1.403787437
-0.3,-2.552808776,-1.417655278
-0.35,-2.766514379,-1.43996776
-0.4,-2.986566449,-1.470859305
-0.45,-3.108746279,-1.510199917
-0.5,-3.062181644,-1.557628305
-0.55,-2.93546411,-1.612603071
-0.6,-2.816031158,-1.674457545
-0.65,-2.728155798,-1.742456456
-0.7,-2.671506473,-1.815844056
-0.75,-2.640794296,-1.893881496
-0.8,-2.630806626,-1.97587599
-0.85,-2.637320755,-2.061197485
-0.9,-2.657072389,-2.149288565
-0.95,-2.687558365,-2.23966427
-1,-2.726849708,-2.331912567
