log(T),C1.57,C1.00
1,-1.918764993,-1.978485273
0.95,-1.909581425,-1.958197902
0.9,-1.899996941,-1.939771664
0.85,-1.891338706,-1.925354702
0.8,-1.885219563,-1.917002786
0.75,-1.883292118,-1.916258034
0.7,-1.886892768,-1.923519351
0.65,-1.896903308,-1.937422258
0.6,-1.913778676,-1.954214467
0.55,-1.937932836,-1.967617832
0.5,-1.970438556,-1.969951269
0.45,-2.013876089,-1.954944836
0.4,-2.072978149,-1.920815983
0.35,-2.154617476,-1.870793426
0.3,-2.266064205,-1.810440333
0.25,-2.40646219,-1.74431813
0.2,-2.532954217,-1.674320452
0.15,-2.512731357,-1.608397311
0.1,-2.287871747,-1.562037379
0.05,-2.155410246,-1.522598592
0,-2.138487512,-1.489640927
-0.05,-2.130691563,-1.462909841
-0.1,-2.143282572,-1.442511095
-0.15,-2.185778573,-1.428889842
-0.2,-2.266168709,-1.422690697
-0.25,-2.39128421,-1.424581352
-0.3,-2.565876577,-1.43510267
-0.35,-2.786051278,-1.454574098
-0.4,-3.013320669,-1.483055215
-0.45,-3.135311455,-1.520351373
-0.5,-3.078634966,-1.566047277
-0.55,-2.943478482,-1.619556964
-0.6,-2.819845796,-1.680176713
-0.65,-2.730047945,-1.7471398
-0.7,-2.672490783,-1.819663116
-0.75,-2.641327998,-1.896983574
-0.8,-2.631106062,-1.978386736
-0.85,-2.637493535,-2.063223225
-0.9,-2.657174429,-2.15091853
-0.95,-2.68761981,-2.240972732
-1,-2.726887322,-2.332960883
