log(T),C1.57,C1.00,IdealGibbs
1,0.976555144,0.986599923,0.999991433
0.95,0.97570991,0.985299255,0.999967143
0.9,0.974501585,0.983671361,0.999891135
0.85,0.972793856,0.981643156,0.999683396
0.8,0.97040825,0.979127794,0.99918043
0.75,0.967116645,0.976022968,0.998088134
0.7,0.962636498,0.972209427,0.995937263
0.65,0.956632355,0.967549926,0.992061405
0.6,0.948728816,0.961888756,0.985619933
0.55,0.93854133,0.955052525,0.975681386
0.5,0.925727829,0.946852315,0.961364528
0.45,0.910057375,0.937087883,0.942009052
0.4,0.891475865,0.925554092,0.917326612
0.35,0.870136079,0.91204989,0.887479646
0.3,0.846363478,0.896389305,0.85305748
0.25,0.820557823,0.878414089,0.814958682
0.2,0.793068504,0.858006306,0.774224945
0.15,0.764091189,0.835100131,0.731885564
0.1,0.733620189,0.809691275,0.688857616
0.05,0.701463012,0.781844624,0.645915892
0,0.667314305,0.751700072,0.603715997
-0.05,0.630884846,0.719478623,0.562837342
-0.1,0.592077556,0.685488469,0.523814259
-0.15,0.551181995,0.650130584,0.487138544
-0.2,0.509022593,0.61389965,0.453235503
-0.25,0.466967225,0.577375526,0.422428569
-0.3,0.426729175,0.541200438,0.39491019
-0.35,0.389996017,0.506040334,0.370730713
-0.4,0.358037702,0.472534139,0.349807755
-0.45,0.331470962,0.441239676,0.331951286
-0.5,0.310257876,0.412587739,0.316896423
-0.55,0.293880457,0.386853818,0.304336483
-0.6,0.281571895,0.364152524,0.293951282
-0.65,0.272511106,0.344452213,0.285428404
-0.7,0.265943947,0.327604191,0.278477248
-0.75,0.261238146,0.313378184,0.272836881
-0.8,0.257893843,0.301496848,0.268279195
-0.85,0.255531116,0.291665078,0.26460883
-0.9,0.253868846,0.283591833,0.261661125
-0.95,0.252702829,0.27700474,0.259299015
-1,0.251886613,0.271658217,0.257409518
